iter	Passed	Remaining
0	3	339
1	6	294
2	8	282
3	11	273
4	13	265
5	16	254
6	18	241
7	19	228
8	20	209
9	22	202
10	24	195
11	25	190
12	27	186
13	30	185
14	31	179
15	33	175
16	35	171
17	36	167
18	38	164
19	40	161
20	42	158
21	43	155
22	45	152
23	47	149
24	50	151
25	51	147
26	53	144
27	55	142
28	56	139
29	58	136
30	59	133
31	61	130
32	63	128
33	64	126
34	66	124
35	68	121
36	70	119
37	71	116
38	73	114
39	74	111
40	76	110
41	78	108
42	79	105
43	81	103
44	82	101
45	84	99
46	86	97
47	88	95
48	89	93
49	90	90
50	91	88
51	93	86
52	94	84
53	96	82
54	98	80
55	99	78
56	101	76
57	102	74
58	104	72
59	106	70
60	107	68
61	109	66
62	111	65
63	112	63
64	114	61
65	115	59
66	117	57
67	119	56
68	120	54
69	122	52
70	124	50
71	126	49
72	127	47
73	129	45
74	130	43
75	132	41
76	134	40
77	136	38
78	137	36
79	139	34
80	141	33
81	143	31
82	144	29
83	146	27
84	148	26
85	149	24
86	151	22
87	152	20
88	154	19
89	156	17
90	157	15
91	159	13
92	161	12
93	163	10
94	164	8
95	166	6
96	168	5
97	169	3
98	171	1
99	173	0
