instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rentals
224,8/12/2011,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051
685,11/15/2012,4,1,11,0,4,1,2,0.321667,0.324492,0.620417,0.152987,320
686,11/16/2012,4,1,11,0,5,1,1,0.345,0.347204,0.524583,0.171025,484
164,6/13/2011,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863
395,1/30/2012,1,1,1,0,1,1,1,0.269167,0.262625,0.400833,0.215792,126
642,10/3/2012,4,1,10,0,3,1,2,0.6575,0.599133,0.79375,0.0665458,728
491,5/5/2012,2,1,5,0,6,0,2,0.621667,0.584608,0.756667,0.152992,2496
391,1/26/2012,1,1,1,0,4,1,2,0.341667,0.35605,0.769583,0.0733958,244
372,1/7/2012,1,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,1070
335,12/1/2011,4,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,182
458,4/2/2012,2,1,4,0,1,1,1,0.433913,0.427513,0.504348,0.312139,1208
105,4/15/2011,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642
115,4/25/2011,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773
657,10/18/2012,4,1,10,0,4,1,2,0.5225,0.512625,0.728333,0.236937,1008
240,8/28/2011,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415
656,10/17/2012,4,1,10,0,3,1,1,0.455833,0.450108,0.692917,0.101371,979
295,10/22/2011,4,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499
93,4/3/2011,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651
8,1/8/2011,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68
90,3/31/2011,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179
555,7/8/2012,3,1,7,0,0,0,1,0.8225,0.790396,0.57375,0.125629,1203
394,1/29/2012,1,1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,558
671,11/1/2012,4,1,11,0,4,1,2,0.365833,0.369942,0.581667,0.157346,466
678,11/8/2012,4,1,11,0,4,1,1,0.352174,0.341891,0.333478,0.347835,340
591,8/13/2012,3,1,8,0,1,1,1,0.720833,0.662254,0.545417,0.136212,1207
548,7/1/2012,3,1,7,0,0,0,1,0.815833,0.750629,0.51875,0.168529,1421
421,2/25/2012,1,1,2,0,6,0,1,0.290833,0.255675,0.395833,0.421642,317
410,2/14/2012,1,1,2,0,2,1,2,0.319167,0.333946,0.50875,0.141179,135
12,1/12/2011,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25
141,5/21/2011,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258
29,1/29/2011,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123
44,2/13/2011,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397
43,2/12/2011,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288
74,3/15/2011,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289
168,6/17/2011,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863
604,8/26/2012,3,1,8,0,0,0,2,0.653333,0.595996,0.845833,0.228858,1483
640,10/1/2012,4,1,10,0,1,1,2,0.520833,0.512,0.649167,0.0908042,763
413,2/17/2012,1,1,2,0,5,1,1,0.343333,0.351629,0.634583,0.205846,349
179,6/28/2011,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732
454,3/29/2012,2,1,3,0,4,1,1,0.494167,0.482304,0.439167,0.31965,834
471,4/15/2012,2,1,4,0,0,0,1,0.606667,0.573875,0.507917,0.225129,2846
178,6/27/2011,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854
666,10/27/2012,4,1,10,0,6,0,2,0.53,0.515133,0.72,0.235692,2643
508,5/22/2012,2,1,5,0,2,1,2,0.615,0.580825,0.765833,0.118167,819
258,9/15/2011,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428
297,10/24/2011,4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,699
16,1/16/2011,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251
429,3/4/2012,1,1,3,0,0,0,1,0.325833,0.303021,0.403333,0.334571,710
257,9/14/2011,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647
583,8/5/2012,3,1,8,0,0,0,1,0.769167,0.731079,0.6525,0.290421,1707
325,11/21/2011,4,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,220
518,6/1/2012,2,1,6,0,5,1,2,0.654167,0.607962,0.755417,0.237563,533
530,6/13/2012,2,1,6,0,3,1,1,0.655833,0.611117,0.582083,0.343279,1173
347,12/13/2011,4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,155
282,10/9/2011,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397
382,1/17/2012,1,1,1,0,2,1,2,0.373043,0.364278,0.716087,0.34913,127
10,1/10/2011,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41
250,9/7/2011,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118
23,1/23/2011,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150
222,8/10/2011,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884
484,4/28/2012,2,1,4,0,6,0,2,0.376667,0.377504,0.489583,0.129975,1120
716,12/16/2012,4,1,12,0,0,0,2,0.3625,0.369938,0.83875,0.100742,538
417,2/21/2012,1,1,2,0,2,1,1,0.287826,0.295113,0.594348,0.205717,163
611,9/2/2012,3,1,9,0,0,0,2,0.696667,0.649,0.815,0.0640708,2613
204,7/23/2011,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987
448,3/23/2012,2,1,3,0,5,1,2,0.601667,0.570067,0.694167,0.1163,2469
94,4/4/2011,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734
333,11/29/2011,4,0,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,96
383,1/18/2012,1,1,1,0,3,1,1,0.303333,0.275254,0.443333,0.415429,109
423,2/27/2012,1,1,2,0,1,1,1,0.366667,0.357954,0.490833,0.268033,253
285,10/12/2011,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217
185,7/4/2011,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065
590,8/12/2012,3,1,8,0,0,0,1,0.700833,0.644579,0.530417,0.122512,2182
330,11/26/2011,4,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249
154,6/3/2011,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898
76,3/17/2011,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424
378,1/13/2012,1,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108,174
278,10/5/2011,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559
69,3/10/2011,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46
427,3/2/2012,1,1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904,246
189,7/8/2011,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692
272,9/29/2011,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653
237,8/25/2011,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435
89,3/30/2011,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168
