iter	RMSE
0	659.3080526
1	622.3294655
2	587.4507719
3	557.8264767
4	529.9915039
5	505.278887
6	485.0619448
7	465.8739075
8	448.1975692
9	431.5194543
10	416.9629473
11	404.0400487
12	390.6717153
13	380.9657562
14	373.154646
15	365.6036533
16	357.9081991
17	349.8520727
18	343.2600902
19	336.3956734
20	331.4293326
21	325.516205
22	321.2261199
23	317.6213467
24	312.225182
25	308.638237
26	305.762305
27	302.9584622
28	299.8950604
29	296.461635
30	294.0157222
31	290.0839971
32	286.6624769
33	284.7498436
34	282.4792567
35	280.355289
36	279.0433459
37	277.7972926
38	275.8873473
39	274.50167
40	272.4289035
41	270.6762088
42	269.063148
43	267.7500597
44	266.0920035
45	264.5517669
46	261.9791822
47	260.5109493
48	258.8168946
49	256.8328499
50	254.8676728
51	252.810071
52	251.3147286
53	250.0818761
54	248.3964572
55	246.8000034
56	245.7444106
57	244.6393679
58	243.7425306
59	243.018571
60	241.8613242
61	241.1419256
62	239.9497144
63	238.9884927
64	237.4870961
65	235.841947
66	234.4012696
67	233.0869669
68	231.2371689
69	230.1104052
70	228.4143065
71	227.3827777
72	226.2272956
73	225.5437749
74	224.2568814
75	223.8694282
76	222.7097816
77	221.7124915
78	220.9436735
79	219.7609448
80	218.8797016
81	217.1830252
82	216.1635408
83	215.355865
84	214.5224893
85	213.8169176
86	213.3615799
87	212.2186748
88	211.1116382
89	210.5642497
90	209.488059
91	208.6770362
92	207.1705522
93	206.0842258
94	205.4045043
95	204.7569495
96	204.5053867
97	203.2969578
98	201.4408681
99	200.4748234
