iter	Passed	Remaining
0	5	586
1	12	630
2	17	577
3	22	540
4	26	502
5	30	476
6	34	452
7	38	438
8	42	428
9	46	416
10	50	404
11	53	393
12	56	380
13	60	373
14	64	363
15	68	357
16	71	348
17	75	341
18	78	333
19	81	326
20	84	317
21	87	309
22	90	303
23	93	296
24	96	289
25	99	282
26	102	277
27	105	271
28	108	265
29	111	259
30	114	254
31	117	249
32	120	243
33	122	238
34	125	233
35	129	229
36	132	224
37	134	220
38	137	215
39	140	211
40	143	206
41	146	202
42	149	198
43	152	194
44	155	190
45	158	186
46	161	182
47	164	178
48	167	174
49	170	170
50	173	167
51	176	163
52	179	159
53	183	156
54	188	154
55	193	151
56	197	149
57	202	146
58	207	143
59	211	141
60	221	141
61	231	141
62	241	141
63	251	141
64	261	141
65	272	140
66	278	137
67	283	133
68	286	128
69	289	124
70	292	119
71	295	114
72	298	110
73	301	106
74	305	101
75	308	97
76	311	92
77	315	88
78	318	84
79	321	80
80	324	76
81	328	72
82	338	69
83	348	66
84	357	63
85	371	60
86	382	57
87	392	53
88	402	49
89	421	46
90	425	42
91	431	37
92	435	32
93	439	28
94	443	23
95	447	18
96	450	13
97	453	9
98	456	4
99	460	0
